Gene	Panel
EFEMP2	sub_RefSeq_-20+10_FE_Aortopathy_ConnTissue_v1
EFEMP2	sub_RefSeq_-20+10_FE_Aortopathy_ConnTissue_v2
EFEMP2	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v1
EFEMP2	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v2
EFEMP2	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v3
EFEMP2	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v4
EFEMP2	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v4_ForCovAssessmentONLY
EFEMP2	sub_RefSeq_-20+10_FE_Aortopathy_Stickler_v1
EFEMP2	sub_RefSeq_-20+10_FE_Aortopathy_Stickler_v2
EFEMP2	sub_RefSeq_-20+10_FE_Aortopathy_v4
EFEMP2	sub_RefSeq_-20+10_FE_Aortopathy_v5
EFEMP2	sub_RefSeq_-20+10_FE_Aortopathy_v6
EFEMP2	sub_RefSeq_-20+10_FE_AortopathyBAV_v1
EFEMP2	sub_RefSeq_-20+10_FE_AortopathyBAV_v2
EFEMP2	sub_RefSeq_-20+10_FE_AortopathyBAV-CHD_v1
EFEMP2	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_Arrhythmia_v1
EFEMP2	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v1
EFEMP2	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v2
EFEMP2	sub_RefSeq_-20+10_FE_Cardiac_CHD_ConnTissue_Noonan_Microcephaly_v1
EFEMP2	sub_RefSeq_-20+10_FE_Cardiac_CHD_ConnTissue_Noonan_v1
EFEMP2	sub_RefSeq_-20+10_FE_Cardiac_MolecularAutopsy_v1
EFEMP2	sub_RefSeq_-20+10_FE_Conntissue_CeGAT+DA_v1
EFEMP2	sub_RefSeq_-20+10_FE_Conntissue_CeGAT+Stickler_v1
EFEMP2	sub_RefSeq_-20+10_FE_ConnTissue_v1
EGFR	KR_TSC_flank20
EGR2	IPN_All_ROIs_Regions_forCoverageBed
EGR2	FE_IPN_SureSelect_hg19_coverage
EGR2	IPN_SureSelect_V1_Regions_forCoverageBed
EGR2	IPN-Ext_QXT
EGR2	IPN-Ext_QXT_hg19_coverage
EGR2	IPN-Ext_QXT_hg19_coverage_overlap
EGR2	sub_RefSeq_-20+10_FE_IPNClone+AIFM1_v1
EHMT1	sub_RefSeq_-20+10_FE_adHoc_CoffinSiris_EHMT1_v1
EHMT1	sub_RefSeq_-20+10_FE_adHoc_EHMT1-SETBP1-SMARCA2-ARID1B_v1
EHMT1	sub_RefSeq_-20+10_FE_adHoc_Noonan_CdLS_ddx_Koolen_de_Vries_Kleefstra
EHMT1	sub_RefSeq_-20+10_FE_adHoc_RAI1_EHMT1_v1
EHMT1	sub_RefSeq_-20+10_FE_ChromsomeBreakage+EHMT1_v1
EHMT1	sub_RefSeq_-20+10_FE_Epilepsy_GOS_EIEE_72geneClone_Microcephaly_v1
EIF2AK4	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_PulmHypertension_v1
EIF2AK4	sub_RefSeq_-20+10_FE_Cardiac_PulmonaryHypertension_v1
ELANE	combined
ELANE	FE_Breakage_SureSelect_hg19_coverage
ELANE	IBMFS_SURESELECT
ELANE	sub_RefSeq_-20+10_FE_IBMFS
ELN	FE_CHD_SureSelect_hg19_coverage
ELN	sub_RefSeq_-20+10_FE_Aortopathy_ConnTissue_v1
ELN	sub_RefSeq_-20+10_FE_Aortopathy_ConnTissue_v2
ELN	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v4
ELN	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v4_ForCovAssessmentONLY
ELN	sub_RefSeq_-20+10_FE_Aortopathy_v6
ELN	sub_RefSeq_-20+10_FE_AortopathyBAV-CHD_v1
ELN	sub_RefSeq_-20+10_FE_Cardiac_Arrhythmia_Cardiomyopathy_CHD_v1
ELN	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_Arrhythmia_v1
ELN	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v1
ELN	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v2
ELN	sub_RefSeq_-20+10_FE_Cardiac_CHD_Breakage_v1
ELN	sub_RefSeq_-20+10_FE_Cardiac_CHD_ConnTissue_Noonan_Microcephaly_v1
ELN	sub_RefSeq_-20+10_FE_Cardiac_CHD_ConnTissue_Noonan_v1
ELN	sub_RefSeq_-20+10_FE_Cardiac_CHD_Hypoparathy_microcep_noonan_CdLddx_v1
ELN	sub_RefSeq_-20+10_FE_Cardiac_CHD_v1
ELN	sub_RefSeq_-20+10_FE_Cardiac_CHD_v2
ELN	sub_RefSeq_-20+10_FE_Cardiac_MolecularAutopsy_v1
ELN	sub_RefSeq_-20+10_FE_Conntissue_CeGAT+DA_v1
ELN	sub_RefSeq_-20+10_FE_Conntissue_CeGAT+Stickler_v1
ELN	sub_RefSeq_-20+10_FE_ConnTissue_ELN_v1
ELN	sub_RefSeq_-20+10_FE_ConnTissue_v1
EMD	Cardiac_SureSelect_All_Regions_forCoverageBed
EMD	FE_Cardiac_SureSelect_hg19_coverage
EMD	sub_RefSeq_-20+10_FE_Cardiac_Arrhythmia_Cardiomyopathy_CHD_v1
EMD	sub_RefSeq_-20+10_FE_Cardiac_Arrhythmia_Cardiomyopathy_v1
EMD	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_Arrhythmia_v1
EMD	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v1
EMD	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v2
EMD	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_LQT_v1
EMD	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_PulmHypertension_v1
EMD	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_v1
EMD	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy+BAV_v1
EMD	sub_RefSeq_-20+10_FE_Cardiac_MolecularAutopsy_v1
ENG	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_PulmHypertension_v1
ENG	sub_RefSeq_-20+10_FE_Cardiac_PulmonaryHypertension_v1
EP300	sub_RefSeq_-20+10_FE_adHoc_FE_adHoc_RTS_Kabuki_BO_SchinzelGideon_v1
EP300	sub_RefSeq_-20+10_FE_adHoc_Noonan_CdLS_ddx_Koolen_de_Vries_Kleefstra
EP300	sub_RefSeq_-20+10_FE_adHoc_RubensteinTaybi_Wiedemann-Steiner_v1
EP300	sub_RefSeq_-20+10_FE_Cardiac_CHD_Hypoparathy_microcep_noonan_CdLddx_v1
EP300	sub_RefSeq_-20+10_FE_CdL_and_Differentials_MICROCEPHALY_v1
EP300	sub_RefSeq_-20+10_FE_CdL_and_Differentials_v1
EP300	sub_RefSeq_-20+10_FE_CdL_and_Differentials+NRXN1_v1
EPCAM	KR_TSC_flank20
EPCAM	sub_RefSeq_-20+10_FE_ImmunologyPanel_v1
EPCAM	sub_RefSeq_-20+10_FE_ImmunologyPanel+NF1ex27_v1
ERCC1	Breakage_fixedPOLH
ERCC1	CBD_SURESELECT
ERCC1	combined
ERCC1	FE_Breakage_SureSelect_hg19_coverage
ERCC1	sub_RefSeq_-20+10_FE_Cardiac_CHD_Breakage_v1
ERCC1	sub_RefSeq_-20+10_FE_ChromsomeBreakage_v1
ERCC1	sub_RefSeq_-20+10_FE_ChromsomeBreakage+EHMT1_v1
ERCC2	Breakage_fixedPOLH
ERCC2	CBD_SURESELECT
ERCC2	combined
ERCC2	FE_Breakage_SureSelect_hg19_coverage
ERCC2	KR_TSC_flank20
ERCC2	sub_RefSeq_-20+10_FE_Cardiac_CHD_Breakage_v1
ERCC2	sub_RefSeq_-20+10_FE_ChromsomeBreakage_v1
ERCC2	sub_RefSeq_-20+10_FE_ChromsomeBreakage+EHMT1_v1
ERCC3	Breakage_fixedPOLH
ERCC3	CBD_SURESELECT
ERCC3	combined
ERCC3	FE_Breakage_SureSelect_hg19_coverage
ERCC3	KR_TSC_flank20
ERCC3	sub_RefSeq_-20+10_FE_Cardiac_CHD_Breakage_v1
ERCC3	sub_RefSeq_-20+10_FE_ChromsomeBreakage_v1
ERCC3	sub_RefSeq_-20+10_FE_ChromsomeBreakage+EHMT1_v1
ERCC4	Breakage_fixedPOLH
ERCC4	CBD_SURESELECT
ERCC4	combined
ERCC4	FE_Breakage_SureSelect_hg19_coverage
ERCC4	KR_TSC_flank20
ERCC4	sub_RefSeq_-20+10_FE_Cardiac_CHD_Breakage_v1
ERCC4	sub_RefSeq_-20+10_FE_ChromsomeBreakage_v1
ERCC4	sub_RefSeq_-20+10_FE_ChromsomeBreakage+EHMT1_v1
ERCC5	Breakage_fixedPOLH
ERCC5	CBD_SURESELECT
ERCC5	combined
ERCC5	FE_Breakage_SureSelect_hg19_coverage
ERCC5	KR_TSC_flank20
ERCC5	sub_RefSeq_-20+10_FE_Cardiac_CHD_Breakage_v1
ERCC5	sub_RefSeq_-20+10_FE_ChromsomeBreakage_v1
ERCC5	sub_RefSeq_-20+10_FE_ChromsomeBreakage+EHMT1_v1
ERCC6	Breakage_fixedPOLH
ERCC6	CBD_SURESELECT
ERCC6	combined
ERCC6	FE_Breakage_SureSelect_hg19_coverage
ERCC6	sub_RefSeq_-20+10_FE_Cardiac_CHD_Breakage_v1
ERCC6	sub_RefSeq_-20+10_FE_ChromsomeBreakage_v1
ERCC6	sub_RefSeq_-20+10_FE_ChromsomeBreakage+EHMT1_v1
ERCC8	Breakage_fixedPOLH
ERCC8	CBD_SURESELECT
ERCC8	combined
ERCC8	FE_Breakage_SureSelect_hg19_coverage
ERCC8	sub_RefSeq_-20+10_FE_Cardiac_CHD_Breakage_v1
ERCC8	sub_RefSeq_-20+10_FE_ChromsomeBreakage_v1
ERCC8	sub_RefSeq_-20+10_FE_ChromsomeBreakage+EHMT1_v1
ESCO2	Breakage_fixedPOLH
ESCO2	CBD_SURESELECT
ESCO2	combined
ESCO2	FE_Breakage_SureSelect_hg19_coverage
ESCO2	sub_RefSeq_-20+10_FE_adHoc_Noonan_CdLS_ddx_Koolen_de_Vries_Kleefstra
ESCO2	sub_RefSeq_-20+10_FE_Cardiac_CHD_Breakage_v1
ESCO2	sub_RefSeq_-20+10_FE_Cardiac_CHD_Hypoparathy_microcep_noonan_CdLddx_v1
ESCO2	sub_RefSeq_-20+10_FE_CdL_and_Differentials_MICROCEPHALY_v1
ESCO2	sub_RefSeq_-20+10_FE_CdL_and_Differentials_v1
ESCO2	sub_RefSeq_-20+10_FE_CdL_and_Differentials+NRXN1_v1
ESCO2	sub_RefSeq_-20+10_FE_ChromsomeBreakage_v1
ESCO2	sub_RefSeq_-20+10_FE_ChromsomeBreakage+EHMT1_v1
ESRRB	sub_RefSeq_-20+10_FE_Deafness_GOS_Cam_clone_v1
EVC	sub_RefSeq_-20+10_FE_AortopathyBAV-CHD_v1
EVC	sub_RefSeq_-20+10_FE_Cardiac_Arrhythmia_Cardiomyopathy_CHD_v1
EVC	sub_RefSeq_-20+10_FE_Cardiac_CHD_Breakage_v1
EVC	sub_RefSeq_-20+10_FE_Cardiac_CHD_Hypoparathy_microcep_noonan_CdLddx_v1
EVC	sub_RefSeq_-20+10_FE_Cardiac_CHD_v2
EVC2	sub_RefSeq_-20+10_FE_AortopathyBAV-CHD_v1
EVC2	sub_RefSeq_-20+10_FE_Cardiac_Arrhythmia_Cardiomyopathy_CHD_v1
EVC2	sub_RefSeq_-20+10_FE_Cardiac_CHD_Breakage_v1
EVC2	sub_RefSeq_-20+10_FE_Cardiac_CHD_Hypoparathy_microcep_noonan_CdLddx_v1
EVC2	sub_RefSeq_-20+10_FE_Cardiac_CHD_v2
EXOSC3	sub_RefSeq_-20+10_FE_Pontocerebellar_hypoplasia_v1
EXT1	KR_TSC_flank20
EXT2	KR_TSC_flank20
EYA1	sub_RefSeq_-20+10_FE_Deafness_GOS_Cam_clone_v1
EYA4	Cardiac_SureSelect_All_Regions_forCoverageBed
EYA4	FE_Cardiac_SureSelect_hg19_coverage
EYA4	FE_CHD_SureSelect_hg19_coverage
EYA4	sub_RefSeq_-20+10_FE_Cardiac_Arrhythmia_Cardiomyopathy_CHD_v1
EYA4	sub_RefSeq_-20+10_FE_Cardiac_Arrhythmia_Cardiomyopathy_v1
EYA4	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_Arrhythmia_v1
EYA4	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v1
EYA4	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v2
EYA4	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_LQT_v1
EYA4	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_PulmHypertension_v1
EYA4	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_v1
EYA4	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy+BAV_v1
EYA4	sub_RefSeq_-20+10_FE_Cardiac_MolecularAutopsy_v1
EYA4	sub_RefSeq_-20+10_FE_Deafness_GOS_Cam_clone_v1
EZH2	KR_TSC_flank20
EZH2	sub_RefSeq_-20+10_FE_adHoc_CoffinSiris_Overgrowth_v1_ForCovAssessmentONLY
EZH2	sub_RefSeq_-20+10_FE_adHoc_Hyperekplexia_Overgrowth_COL4A1_COL4A2_PHOX2B_v1
EZH2	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v1
EZH2	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v2
EZH2	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v3
EZH2	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v4
EZH2	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v4_ForCovAssessmentONLY
EZH2	sub_RefSeq_-20+10_FE_Overgrowth_Standard_Hemihypertrophy_v2
EZH2	sub_RefSeq_-20+10_FE_Overgrowth_Standard_Hemihypertrophy_v2_ForCovAssessmentONLY
EZH2	sub_RefSeq_-20+10_FE_Overgrowth_v1
EZH2	sub_RefSeq_-20+10_FE_Overgrowth_v2
EZH2	sub_RefSeq_-20+10_FE_Overgrowth_v2_ForCovAssessmentONLY
FAM134B	IPN_All_ROIs_Regions_forCoverageBed
FAM134B	FE_IPN_SureSelect_hg19_coverage
FAM134B	IPN_SureSelect_V1_Regions_forCoverageBed
FAM134B	IPN-Ext_QXT
FAM134B	IPN-Ext_QXT_hg19_coverage
FAM134B	IPN-Ext_QXT_hg19_coverage_overlap
FAM134B	sub_RefSeq_-20+10_FE_IPNClone+AIFM1_v1
FAM20C	FE_OP_SureSelect_hg19_coverage
FAM20C	sub_RefSeq_-20+10_FE_OP_clone_v1
FAM20C	sub_RefSeq_-20+10_FE_OP_clone_v1_covonly
FAM20C	sub_RefSeq_-20+10_FE_OP-Clone+Osteosclerosis_v1
FAM20C	sub_RefSeq_-20+10_FE_OP-Clone+Osteosclerosis_v1_covonly
FANCA	Breakage_fixedPOLH
FANCA	CBD_SURESELECT
FANCA	combined
FANCA	FANC_SURESELECT
FANCA	FE_Breakage_SureSelect_hg19_coverage
FANCA	IBMFS_SURESELECT
FANCA	KR_TSC_flank20
FANCA	sub_RefSeq_-20+10_FE_Cardiac_CHD_Breakage_v1
FANCA	sub_RefSeq_-20+10_FE_ChromsomeBreakage_v1
FANCA	sub_RefSeq_-20+10_FE_ChromsomeBreakage+EHMT1_v1
FANCA	sub_RefSeq_-20+10_FE_IBMFS
FANCB	Breakage_fixedPOLH
FANCB	CBD_SURESELECT
FANCB	combined
FANCB	FANC_SURESELECT
FANCB	FE_Breakage_SureSelect_hg19_coverage
FANCB	IBMFS_SURESELECT
FANCB	KR_TSC_flank20
FANCB	sub_RefSeq_-20+10_FE_Cardiac_CHD_Breakage_v1
FANCB	sub_RefSeq_-20+10_FE_ChromsomeBreakage_v1
FANCB	sub_RefSeq_-20+10_FE_ChromsomeBreakage+EHMT1_v1
FANCB	sub_RefSeq_-20+10_FE_IBMFS
FANCC	Breakage_fixedPOLH
FANCC	CBD_SURESELECT
FANCC	combined
FANCC	FANC_SURESELECT
FANCC	FE_Breakage_SureSelect_hg19_coverage
FANCC	IBMFS_SURESELECT
FANCC	KR_TSC_flank20
FANCC	sub_RefSeq_-20+10_FE_Cardiac_CHD_Breakage_v1
FANCC	sub_RefSeq_-20+10_FE_ChromsomeBreakage_v1
FANCC	sub_RefSeq_-20+10_FE_ChromsomeBreakage+EHMT1_v1
FANCC	sub_RefSeq_-20+10_FE_IBMFS
FANCD2	Breakage_fixedPOLH
FANCD2	CBD_SURESELECT
FANCD2	combined
FANCD2	FANC_SURESELECT
FANCD2	FE_Breakage_SureSelect_hg19_coverage
FANCD2	IBMFS_SURESELECT
FANCD2	KR_TSC_flank20
FANCD2	sub_RefSeq_-20+10_FE_Cardiac_CHD_Breakage_v1
FANCD2	sub_RefSeq_-20+10_FE_ChromsomeBreakage_v1
FANCD2	sub_RefSeq_-20+10_FE_ChromsomeBreakage+EHMT1_v1
FANCD2	sub_RefSeq_-20+10_FE_IBMFS
FANCE	Breakage_fixedPOLH
FANCE	CBD_SURESELECT
FANCE	combined
FANCE	FANC_SURESELECT
FANCE	FE_Breakage_SureSelect_hg19_coverage
FANCE	IBMFS_SURESELECT
FANCE	KR_TSC_flank20
FANCE	sub_RefSeq_-20+10_FE_Cardiac_CHD_Breakage_v1
FANCE	sub_RefSeq_-20+10_FE_ChromsomeBreakage_v1
FANCE	sub_RefSeq_-20+10_FE_ChromsomeBreakage+EHMT1_v1
FANCE	sub_RefSeq_-20+10_FE_IBMFS
FANCF	Breakage_fixedPOLH
FANCF	CBD_SURESELECT
FANCF	combined
FANCF	FANC_SURESELECT
FANCF	FE_Breakage_SureSelect_hg19_coverage
FANCF	IBMFS_SURESELECT
FANCF	KR_TSC_flank20
FANCF	sub_RefSeq_-20+10_FE_Cardiac_CHD_Breakage_v1
FANCF	sub_RefSeq_-20+10_FE_ChromsomeBreakage_v1
FANCF	sub_RefSeq_-20+10_FE_ChromsomeBreakage+EHMT1_v1
FANCF	sub_RefSeq_-20+10_FE_IBMFS
FANCG	Breakage_fixedPOLH
FANCG	CBD_SURESELECT
FANCG	combined
FANCG	FANC_SURESELECT
FANCG	FE_Breakage_SureSelect_hg19_coverage
FANCG	IBMFS_SURESELECT
FANCG	KR_TSC_flank20
FANCG	sub_RefSeq_-20+10_FE_Cardiac_CHD_Breakage_v1
FANCG	sub_RefSeq_-20+10_FE_ChromsomeBreakage_v1
FANCG	sub_RefSeq_-20+10_FE_ChromsomeBreakage+EHMT1_v1
FANCG	sub_RefSeq_-20+10_FE_IBMFS
FANCI	Breakage_fixedPOLH
FANCI	CBD_SURESELECT
FANCI	combined
FANCI	FANC_SURESELECT
FANCI	FE_Breakage_SureSelect_hg19_coverage
FANCI	IBMFS_SURESELECT
FANCI	KR_TSC_flank20
FANCI	sub_RefSeq_-20+10_FE_Cardiac_CHD_Breakage_v1
FANCI	sub_RefSeq_-20+10_FE_ChromsomeBreakage_v1
FANCI	sub_RefSeq_-20+10_FE_ChromsomeBreakage+EHMT1_v1
FANCI	sub_RefSeq_-20+10_FE_IBMFS
FANCL	Breakage_fixedPOLH
FANCL	CBD_SURESELECT
FANCL	combined
FANCL	FANC_SURESELECT
FANCL	FE_Breakage_SureSelect_hg19_coverage
FANCL	IBMFS_SURESELECT
FANCL	KR_TSC_flank20
FANCL	sub_RefSeq_-20+10_FE_Cardiac_CHD_Breakage_v1
FANCL	sub_RefSeq_-20+10_FE_ChromsomeBreakage_v1
FANCL	sub_RefSeq_-20+10_FE_ChromsomeBreakage+EHMT1_v1
FANCL	sub_RefSeq_-20+10_FE_IBMFS
FAS	sub_RefSeq_-20+10_FE_ImmunologyPanel_v1
FAS	sub_RefSeq_-20+10_FE_ImmunologyPanel+NF1ex27_v1
FASN	sub_RefSeq_-20+10_FE_Epilepsy_GOS_EIEE_72geneClone_Microcephaly_v1
FBLN5	IPN_All_ROIs_Regions_forCoverageBed
FBLN5	IPN_SureSelect_V1_Regions_forCoverageBed
FBLN5	IPN-Ext_QXT
FBLN5	IPN-Ext_QXT_hg19_coverage
FBLN5	IPN-Ext_QXT_hg19_coverage_newbits
FBLN5	sub_RefSeq_-20+10_FE_Aortopathy_ConnTissue_v1
FBLN5	sub_RefSeq_-20+10_FE_Aortopathy_ConnTissue_v2
FBLN5	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_Arrhythmia_v1
FBLN5	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v1
FBLN5	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v2
FBLN5	sub_RefSeq_-20+10_FE_Cardiac_CHD_ConnTissue_Noonan_Microcephaly_v1
FBLN5	sub_RefSeq_-20+10_FE_Cardiac_CHD_ConnTissue_Noonan_v1
FBLN5	sub_RefSeq_-20+10_FE_Conntissue_CeGAT+DA_v1
FBLN5	sub_RefSeq_-20+10_FE_Conntissue_CeGAT+Stickler_v1
FBLN5	sub_RefSeq_-20+10_FE_ConnTissue_v1
FBLN5	sub_RefSeq_-20+10_FE_IPN_extended_v1
FBN1	FE_Aortopathy_SureSelect_hg19_coverage
FBN1	FE_CHD_SureSelect_hg19_coverage
FBN1	sub_RefSeq_-20+10_FE_adHoc_aortopathy_GNAS_PHF6_HDAC4_IDS_v1
FBN1	sub_RefSeq_-20+10_FE_Aortopathy_ConnTissue_v1
FBN1	sub_RefSeq_-20+10_FE_Aortopathy_ConnTissue_v2
FBN1	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v1
FBN1	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v2
FBN1	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v3
FBN1	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v4
FBN1	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v4_ForCovAssessmentONLY
FBN1	sub_RefSeq_-20+10_FE_Aortopathy_Stickler_v1
FBN1	sub_RefSeq_-20+10_FE_Aortopathy_Stickler_v2
FBN1	sub_RefSeq_-20+10_FE_Aortopathy_v4
FBN1	sub_RefSeq_-20+10_FE_Aortopathy_v5
FBN1	sub_RefSeq_-20+10_FE_Aortopathy_v6
FBN1	sub_RefSeq_-20+10_FE_AortopathyBAV_v1
FBN1	sub_RefSeq_-20+10_FE_AortopathyBAV_v2
FBN1	sub_RefSeq_-20+10_FE_AortopathyBAV-CHD_v1
FBN1	sub_RefSeq_-20+10_FE_Cardiac_BAV_v1
FBN1	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_Arrhythmia_v1
FBN1	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v1
FBN1	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v2
FBN1	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy+BAV_v1
FBN1	sub_RefSeq_-20+10_FE_Cardiac_CHD_ConnTissue_Noonan_Microcephaly_v1
FBN1	sub_RefSeq_-20+10_FE_Cardiac_CHD_ConnTissue_Noonan_v1
FBN1	sub_RefSeq_-20+10_FE_Cardiac_MolecularAutopsy_v1
FBN1	sub_RefSeq_-20+10_FE_Conntissue_CeGAT+DA_v1
FBN1	sub_RefSeq_-20+10_FE_Conntissue_CeGAT+Stickler_v1
FBN1	sub_RefSeq_-20+10_FE_ConnTissue_v1
FBN1	sub_RefSeq_-20+10_FE_EctopiaLentis_v1
FBN2	FE_Aortopathy_SureSelect_hg19_coverage
FBN2	FE_CHD_SureSelect_hg19_coverage
FBN2	FE_DA_SureSelect_hg19_coverage
FBN2	sub_RefSeq_-20+10_FE_adHoc_aortopathy_GNAS_PHF6_HDAC4_IDS_v1
FBN2	sub_RefSeq_-20+10_FE_Aortopathy_ConnTissue_v1
FBN2	sub_RefSeq_-20+10_FE_Aortopathy_ConnTissue_v2
FBN2	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v1
FBN2	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v2
FBN2	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v3
FBN2	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v4
FBN2	sub_RefSeq_-20+10_FE_Aortopathy_Overgrowth_v4_ForCovAssessmentONLY
FBN2	sub_RefSeq_-20+10_FE_Aortopathy_Stickler_v1
FBN2	sub_RefSeq_-20+10_FE_Aortopathy_Stickler_v2
FBN2	sub_RefSeq_-20+10_FE_Aortopathy_v4
FBN2	sub_RefSeq_-20+10_FE_Aortopathy_v5
FBN2	sub_RefSeq_-20+10_FE_Aortopathy_v6
FBN2	sub_RefSeq_-20+10_FE_AortopathyBAV_v1
FBN2	sub_RefSeq_-20+10_FE_AortopathyBAV_v2
FBN2	sub_RefSeq_-20+10_FE_AortopathyBAV-CHD_v1
FBN2	sub_RefSeq_-20+10_FE_Cardiac_BAV_v1
FBN2	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_Arrhythmia_v1
FBN2	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v1
FBN2	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy_ConnTissue_v2
FBN2	sub_RefSeq_-20+10_FE_Cardiac_Cardiomyopathy+BAV_v1
FBN2	sub_RefSeq_-20+10_FE_Cardiac_CHD_ConnTissue_Noonan_Microcephaly_v1
FBN2	sub_RefSeq_-20+10_FE_Cardiac_CHD_ConnTissue_Noonan_v1
FBN2	sub_RefSeq_-20+10_FE_Cardiac_MolecularAutopsy_v1
FBN2	sub_RefSeq_-20+10_FE_Conntissue_CeGAT+DA_v1
FBN2	sub_RefSeq_-20+10_FE_Conntissue_CeGAT+Stickler_v1
FBN2	sub_RefSeq_-20+10_FE_ConnTissue_v1
FBN2	sub_RefSeq_-20+10_FE_DistalArthrogryposis_v1
FBXO38	IPN-Ext_QXT
FBXO38	IPN-Ext_QXT_hg19_coverage
FBXO38	IPN-Ext_QXT_hg19_coverage_newbits
FBXO38	sub_RefSeq_-20+10_FE_IPN_extended_v1
FERMT3	FE_OP_SureSelect_hg19_coverage
FERMT3	sub_RefSeq_-20+10_FE_ImmunologyPanel_v1
FERMT3	sub_RefSeq_-20+10_FE_ImmunologyPanel+NF1ex27_v1
FERMT3	sub_RefSeq_-20+10_FE_OP_clone_v1
FERMT3	sub_RefSeq_-20+10_FE_OP_clone_v1_covonly
FERMT3	sub_RefSeq_-20+10_FE_OP-Clone+Osteosclerosis_v1
FERMT3	sub_RefSeq_-20+10_FE_OP-Clone+Osteosclerosis_v1_covonly
FGD1	sub_RefSeq_-20+10_FE_adHoc_Aarskog_FGD1_v1
FGD4	IPN_All_ROIs_Regions_forCoverageBed
FGD4	FE_IPN_SureSelect_hg19_coverage
FGD4	IPN_SureSelect_V1_Regions_forCoverageBed
FGD4	IPN-Ext_QXT
FGD4	IPN-Ext_QXT_hg19_coverage
FGD4	IPN-Ext_QXT_hg19_coverage_overlap
FGD4	sub_RefSeq_-20+10_FE_IPNClone+AIFM1_v1
FGF17	sub_RefSeq_-20+10_FE_Hypogonadotrophic_hypogonadism+MID1_v1
FGF8	sub_RefSeq_-20+10_FE_Hypogonadotrophic_hypogonadism+MID1_v1
FGFR1	sub_RefSeq_-20+10_FE_Hypogonadotrophic_hypogonadism+MID1_v1
FH	KR_TSC_flank20
